0, map: ardougne_underground, area: Ardougne underground, coords: [ X: 2575, Y: 9694, Z: 0 ]
1, map: zanaris, area: Zanaris, coords: [ X: 2495, Y: 4384, Z: 0 ]
2, map: troll_stronghold, area: Troll Stronghold, coords: [ X: 2822, Y: 10087, Z: 2 ]
3, map: yanille_dungeon, area: Yanille Dungeon, coords: [ X: 2580, Y: 9522, Z: 0 ]
4, map: tolna, area: Tolna's Rift, coords: [ X: 3296, Y: 9824, Z: 0 ]
5, map: slayer_cave, area: Fremennik Dungeon, coords: [ X: 2751, Y: 10016, Z: 0 ]
6, map: wilderness_dungeons, area: Wilderness Dungeons, coords: [ X: 3040, Y: 10303, Z: 0 ]
7, map: town_lobby, area: Heist Lobby, coords: [ X: 2592, Y: 1056, Z: 0 ]
8, map: white_wolf_mountain_underground, area: White Wolf Mountain underground, coords: [ X: 2879, Y: 9919, Z: 0 ]
9, map: sops, area: Stronghold of Safety, coords: [ X: 3168, Y: 4256, Z: 1 ]
10, map: null, area: Loading..., coords: [ X: 96, Y: 96, Z: 0 ]
11, map: soul_wars_tutorial, area: Soul Wars Tutorial, coords: [ X: 3616, Y: 5408, Z: 0 ]
12, map: tzhaar_area, area: TzHaar City, coords: [ X: 4682, Y: 5130, Z: 0 ]
13, map: karamja_underground, area: Karamja Underground, coords: [ X: 2691, Y: 9564, Z: 0 ]
14, map: miscellania_underground, area: Miscellania Underground, coords: [ X: 2559, Y: 10208, Z: 0 ]
15, map: godwars, area: God Wars Dungeon, coords: [ X: 2879, Y: 5311, Z: 0 ]
16, map: waterbirth, area: Waterbirth Island Dungeon, coords: [ X: 2495, Y: 10144, Z: 0 ]
17, map: taverley_dungeon, area: Taverley Dungeon, coords: [ X: 2912, Y: 9824, Z: 0 ]
18, map: dwarven_mines, area: Dwarven mines, coords: [ X: 3040, Y: 9824, Z: 0 ]
19, map: braindeath_island, area: Braindeath Island, coords: [ X: 2144, Y: 5101, Z: 0 ]
20, map: kalphite, area: Kalphite Hive, coords: [ X: 3455, Y: 9504, Z: 0 ]
21, map: keldagrim, area: Keldagrim, coords: [ X: 2879, Y: 10176, Z: 0 ]
22, map: pollnivneach_well, area: Pollnivneach Dungeon, coords: [ X: 3391, Y: 9389, Z: 0 ]
23, map: chaos_tunnels, area: Chaos tunnels, coords: [ X: 3232, Y: 5503, Z: 0 ]
24, map: sos, area: Stronghold of Security, coords: [ X: 1888, Y: 5216, Z: 0 ]
25, map: asgarnia_ice_dungeon, area: Asgarnian Ice Dungeon, coords: [ X: 2989, Y: 9566, Z: 0 ]
