[12/17/16 14:31:23, IP: 127.0.0.1] : hi
[12/17/16 14:31:27, IP: 127.0.0.1] : hiiiii
[12/25/16 20:39:17, IP: 127.0.0.1] : hi
[01/06/17 15:41:04, IP: 127.0.0.1] : sup noob
[01/06/17 15:41:07, IP: 127.0.0.1] : buying gf
[01/06/17 18:11:05, IP: 127.0.0.1] : okay perfect
[01/06/17 21:20:04, IP: 127.0.0.1] : hi
[01/09/17 17:27:30, IP: 127.0.0.1] : dfgsd
[01/11/17 16:16:57, IP: 127.0.0.1] : w
[01/13/17 12:04:25, IP: 127.0.0.1] : hi
[01/14/17 14:45:01, IP: 127.0.0.1] : hi
[01/19/17 17:04:11, IP: 127.0.0.1] : = h>k> <sh&e s-ioh>e	i	 h%s	lo=
[01/22/17 15:11:32, IP: 127.0.0.1] : hi
[01/23/17 17:00:04, IP: 127.0.0.1] : nubs
[01/23/17 17:03:58, IP: 127.0.0.1] : hi everyone
[01/23/17 17:04:06, IP: 127.0.0.1] : i was looking for the uncharted island maps
[01/23/17 17:04:12, IP: 127.0.0.1] : and came across some interesting things
[01/23/17 17:04:19, IP: 127.0.0.1] : there are different maps for weather
[01/23/17 17:05:20, IP: 127.0.0.1] : also found this interesting area
[01/23/17 17:05:24, IP: 127.0.0.1] : looks like a testing zone
[01/23/17 17:06:48, IP: 127.0.0.1] : more islands to discover?
[01/23/17 17:06:53, IP: 127.0.0.1] : awesome new content coming soon
[01/23/17 17:07:00, IP: 127.0.0.1] : stay intune with www.nocturne3.org
[02/01/17 15:24:44, IP: 127.0.0.1] : nub fish
[02/01/17 15:24:57, IP: 127.0.0.1] : wtf lmao
[02/01/17 15:24:59, IP: 127.0.0.1] : wtf is this
[02/01/17 15:25:28, IP: 127.0.0.1] : release in 2 days???
[02/01/17 15:25:31, IP: 127.0.0.1] : too slow
[02/01/17 15:25:56, IP: 127.0.0.1] : lol gg
[02/02/17 13:41:07, IP: 127.0.0.1] : hi
[02/09/17 14:40:10, IP: 127.0.0.1] : hi
[02/09/17 14:44:23, IP: 127.0.0.1] : hi
[02/09/17 14:46:53, IP: 127.0.0.1] : hi
[02/09/17 14:47:06, IP: 127.0.0.1] : hi
[02/09/17 14:47:22, IP: 127.0.0.1] : jo
[02/09/17 15:02:40, IP: 127.0.0.1] : hi
